no,tag_name,classification,note
1,#にじワイテ人狼RPG,イベント,-
2,#フミとも,グループ名,「フミとも」に変更すべき
3,#フルトイ,グループ名,「フルトイ」へ統一すべき
4,#白雪巴新衣装,企画名,「白雪巴新衣装」へ統一すべき
5,2.0,中分類タグ,-
6,3.0,中分類タグ,-
7,3D,中分類タグ,-
8,8番出口,ゲーム名,-
9,APEX部2434キルリレー,イベント,-
10,ASMR,大分類タグ,-
11,ASTRONEER,ゲーム名,-
12,Amanda the Adventurer,ゲーム名,-
13,Among Us,ゲーム名,-
14,Among the Sleep,ゲーム名,-
15,Apex Legends,ゲーム名,-
16,CH4NGE,楽曲名,-
17,CLOSED NIGHTMARE,ゲーム名,-
18,CONTROL,ゲーム名,-
19,Crime Scene Cleaner,ゲーム名,-
20,Crossick,グループ名,-
21,Cry of Fear,ゲーム名,-
22,Crystal Isles - ARK Expansion Map,ゲーム名,-
23,DEVOUR,ゲーム名,-
24,DON'T SCREAM,ゲーム名,-
25,Dark Deception,ゲーム名,-
26,Dead by Daylight,ゲーム名,-
27,Detroit: Become Human,ゲーム名,-
28,Echocalypse -緋紅の神約-,ゲーム名,-
29,FIVE NIGHTS AT FREDDY'S: HELP WANTED,ゲーム名,-
30,FPS/TPS,中分類タグ,-
31,FREE編,中分類タグ,-
32,Fall Guys,ゲーム名,-
33,Fast Food Simulator,ゲーム名,-
34,Friday the 13th: The Game,ゲーム名,-
35,Gartic Phone,ゲーム名,-
36,Getting Over It with Bennett Foddy,ゲーム名,-
37,Ghostwire: Tokyo,ゲーム名,-
38,Good Job!,ゲーム名,-
39,Grand Theft Auto V (GTA5),ゲーム名,-
40,HEAVY RAIN 心の軋むとき,ゲーム名,-
41,Hand Simulator,ゲーム名,-
42,Hex Haywire,人名,-
43,IF雪メイキング,企画名,-
44,INSIDE,ゲーム名,-
45,Ib,ゲーム名,-
46,IdentityV 第五人格,ゲーム名,-
47,Infliction,ゲーム名,-
48,Knockout City,ゲーム名,-
49,Kotoka Torahime,人名,-
50,LIMBO,ゲーム名,-
51,LITTLE NIGHTMARES,ゲーム名,-
52,LITTLE NIGHTMARES Ⅱ,ゲーム名,-
53,Layers of Fear,ゲーム名,-
54,Layers of Fear: Inheritance,ゲーム名,-
55,MOOZ,ゲーム名,-
56,Minecraft,ゲーム名,-
57,NEEDY GIRL OVERDOSE,ゲーム名,-
58,NIJIPuyoTetris2023,イベント,-
59,NNOP2022,イベント,-
60,NieR:Automata,ゲーム名,-
61,Niji_AmongUs,イベント,-
62,OUTLAST,ゲーム名,-
63,OUTLAST2,ゲーム名,-
64,Only Up!,ゲーム名,-
65,PAON,ゲーム名,-
66,PIEN,ゲーム名,-
67,PUBG LITE,ゲーム名,-
68,"Papers, Please",ゲーム名,-
69,Paranormal Cleanup,ゲーム名,-
70,Pineapple on pizza,ゲーム名,-
71,Pokémon LEGENDS アルセウス,ゲーム名,-
72,Project Winter,ゲーム名,-
73,Q REMASTERED,ゲーム名,-
74,RPG,中分類タグ,-
75,Refind Self：性格診断ゲーム,ゲーム名,-
76,SCP：極秘ファイル,ゲーム名,-
77,SUPER BOMBERMAN R2,ゲーム名,-
78,Seven Nights Ghost,ゲーム名,-
79,Shadow Corridor 2 雨ノ四葩,ゲーム名,-
80,Sharks and Minnows,ゲーム名,-
81,Slither.io,ゲーム名,-
82,Super Bunny Man,ゲーム名,-
83,TEKE TEKE,ゲーム名,-
84,TETRIS 99,ゲーム名,-
85,TOKYO DARK,ゲーム名,-
86,TOMB RAIDER,ゲーム名,-
87,TRPG,中分類タグ,-
88,The Medium,ゲーム名,-
89,The Outlast Trials,ゲーム名,-
90,Tormented Souls,ゲーム名,-
91,Unknown Tapes,ゲーム名,-
92,VALORANT,ゲーム名,-
93,Virtual to LIVE in 両国国技館 2019,イベント,-
94,Visage,ゲーム名,-
95,WE WERE HERE Too,ゲーム名,-
96,We Were Here Forever,ゲーム名,-
97,We Were Here Together,ゲーム名,-
98,Within Skerry,ゲーム名,-
99,World of Warships Legends,ゲーム名,-
100,W白雪コラボ,グループ名,-
101,Your Toy,ゲーム名,-
102,[Chilla's Art] Parasocial \,パラソーシャル,ゲーム名
103,[Chilla's Art] The Kidnap \,誘拐事件,ゲーム名
104,shorts,中分類タグ,-
105,unpacking,ゲーム名,-
106,varkshorts,中分類タグ,-
107,あつまれどうぶつの森,ゲーム名,-
108,いっ杯晩酌,企画名,-
109,うちには天使がいる！,ゲーム名,-
110,えま★おうがすと,人名,-
111,おえもりにじさんじ杯,イベント,-
112,おくだけドリル,ゲーム名,-
113,おすそわけるメイドインワリオ,ゲーム名,-
114,お悩み相談,中分類タグ,-
115,お披露目,大分類タグ,-
116,こちら、母なる星より,ゲーム名,-
117,ことばのパズル　もじぴったんアンコール,ゲーム名,-
118,ごく普通の鹿のゲーム DEEEER Simulator,ゲーム名,-
119,ささやき,中分類タグ,-
120,じごくのインターネッツ,ゲーム名,-
121,じんるいのみなさまへ,ゲーム名,-
122,せどまいり,ゲーム名,-
123,つぐのひ -彁名縛りの部屋-,ゲーム名,-
124,つぐのひ -忌み夜の喰霊品店-,ゲーム名,-
125,つぐのひ -昭和からの呼び声-,ゲーム名,-
126,にじARK,イベント,-
127,にじさんじ 4th Anniversary「FANTASIA」DAY1,イベント,-
128,にじさんじ6周年,イベント,-
129,にじさんじDBD大会,イベント,-
130,にじさんじアイラブ歌リレー,イベント,-
131,にじさんじカウントダウンライブ,イベント,-
132,にじさんじスプラ杯,イベント,-
133,にじさんじスマブラ杯,イベント,-
134,にじさんじポケユナ大会,イベント,-
135,にじさんじ壺カップ,イベント,-
136,にじさんじ性癖コンビ,グループ名,-
137,にじさんじ歌リレー,イベント,-
138,にじさんじ麻雀杯,イベント,「にじさんじ麻雀杯」へ統一すべき
139,にじさんじ麻雀杯2025,イベント,-
140,にじスプラ大会,イベント,-
141,にじスプラ祭り,イベント,-
142,にじテトグランプリ,イベント,-
143,にじニケリターンズ,イベント,-
144,にじフェス2022,イベント,-
145,にじフェス2023,イベント,-
146,にじママ友,グループ名,-
147,にじワイテ人狼RPG,イベント,-
148,にじ女あもあす,イベント,-
149,にじ歌DAY,イベント,-
150,にじ診断,ゲーム名,-
151,にじ鯖夏祭り,イベント,-
152,ぱぱびっぷ,人名,-
153,ふるとな3D運動会,イベント,-
154,ふるとな脱出,企画名,-
155,ぷよぷよテトリス2,ゲーム名,-
156,まにお先生,人名,-
157,みんなで空気読み。,ゲーム名,-
158,みんなで空気読み。２,ゲーム名,-
159,やわらかあたま塾,ゲーム名,-
160,ゆあま先生,人名,-
161,らぶスノ,グループ名,-
162,アカイイト,ゲーム名,-
163,アクションゲーム,中分類タグ,-
164,アサルトリリィ Last Bullet,ゲーム名,-
165,アドベンチャー,中分類タグ,-
166,アーテリーギア-機動戦姫-,ゲーム名,-
167,イベント,大分類タグ,-
168,ウツロマユ,ゲーム名,-
169,ウマ娘 プリティーダービー,ゲーム名,-
170,エイプリルフール,イベント,-
171,エクス・アルビオ,人名,-
172,エスカレーター,ゲーム名,-
173,エデンとアソボウ,企画名,-
174,エモクロアTRPGシナリオ アンデッド・デット・デビルズ,ゲーム名,-
175,エリー・コニファー,人名,-
176,オリジナル曲,中分類タグ,-
177,オリバー・エバンス,人名,-
178,カラオケ,中分類タグ,-
179,カラオケへいこう,企画名,-
180,ガチレポ！,企画名,-
181,ガチ百合,中分類タグ,-
182,ガールズコントラクト,ゲーム名,-
183,キスしちゃだめっ！,ゲーム名,-
184,ギャルゲー,中分類タグ,-
185,グウェル・オス・ガール,人名,-
186,ゲーム実況,大分類タグ,-
187,コラボ,中分類タグ,-
188,コラボ雑談,中分類タグ,-
189,サチ江-死道-,ゲーム名,-
190,サンドボックス,中分類タグ,-
191,シェリン・バーガンディ,人名,-
192,シミュレーション,中分類タグ,-
193,シャンプー,中分類タグ,-
194,シリーズ実況,中分類タグ,-
195,スイカゲーム,ゲーム名,-
196,ストレッチャーズ,ゲーム名,-
197,スノーベル,グループ名,-
198,スプラトゥーン2,ゲーム名,-
199,スプラトゥーン3,ゲーム名,-
200,スーパーボンバーマンRオンライン,ゲーム名,-
201,スーパーマリオパーティ,ゲーム名,-
202,スーパー野田ゲーWORLD,ゲーム名,-
203,ダイエット,中分類タグ,-
204,ダンス,中分類タグ,-
205,ダンダダン,作品名,-
206,チェイサーゲームW パワハラ上司は私の元カノ,作品名,-
207,チックタック：二人のための物語,ゲーム名,-
208,チョコボGP,ゲーム名,-
209,テーブルゲーム,中分類タグ,-
210,デビルじゃないもん,楽曲名,-
211,トゥーム レイダー,ゲーム名,-
212,ドS,中分類タグ,-
213,ドライブ,中分類タグ,-
214,ニュイ・ソシエール,人名,-
215,ノベルゲーム,中分類タグ,-
216,ハツリバーブ-HAZE REVERB-,ゲーム名,-
217,バイオハザード,ゲーム名,-
218,バイオハザード RE:2,ゲーム名,-
219,バイオハザード RE:3,ゲーム名,-
220,バイオハザード RE:4,ゲーム名,-
221,バイオハザード0,ゲーム名,-
222,バイオハザード6,ゲーム名,-
223,バイオハザード7,ゲーム名,-
224,バイオハザード7：Banned Footage Vol.1＆Vol.2,ゲーム名,-
225,バイオハザード7：End of Zoe,ゲーム名,-
226,バイオハザード7：Not A Hero,ゲーム名,-
227,バイオハザード8 ヴィレッジ,ゲーム名,-
228,バイオハザード8：Shadows of Rose,ゲーム名,-
229,バイオハザードリベレーションズ,ゲーム名,-
230,バイオハザードリベレーションズ2,ゲーム名,-
231,バレンタイン,中分類タグ,-
232,バーチャル3分劇場,中分類タグ,-
233,パズル,中分類タグ,-
234,ピクミン3,ゲーム名,-
235,ピクミン4,ゲーム名,-
236,ファッションドリーマー,ゲーム名,-
237,ファミリーゲーム,中分類タグ,-
238,ファンミーティング,中分類タグ,-
239,フィットネス,中分類タグ,-
240,フェス,中分類タグ,-
241,フミ,人名,-
242,フリートーク,中分類タグ,-
243,フルトイ,グループ名,-
244,フルトイ企画3Dカラオケ選手権,企画名,-
245,フルトイ新衣装,企画名,-
246,フレン・E・ルスタリオ,人名,-
247,フードデリバリーサービス,ゲーム名,-
248,ブルーアーカイブ,ゲーム名,-
249,ベルモンド・バンデラス,人名,-
250,ホラゲV女子会,企画名,-
251,ホラー,中分類タグ,-
252,ホラー体験,中分類タグ,-
253,ボク姫PROJECT,ゲーム名,-
254,ポケットモンスター スカーレット・バイオレット,ゲーム名,-
255,ポケットモンスター ソード・シールド,ゲーム名,-
256,ポケモン,中分類タグ,-
257,ポケモンユナイト,ゲーム名,-
258,ポーカーチェイス-Poker Chase-,ゲーム名,-
259,マシュマロ,中分類タグ,-
260,"ママにゲーム隠された1,2",ゲーム名,-
261,マリオカート8 デラックス,ゲーム名,-
262,マリオパーティ スーパースターズ,ゲーム名,-
263,マリカにじさんじ最弱王決定戦,イベント,-
264,マリカにじさんじ杯,イベント,-
265,メリクリくろしっく,企画名,-
266,モイラ,人名,-
267,ラジオを止めろ,企画名,-
268,リアル百合エピソード,企画名,-
269,リア充★撲滅運動,楽曲名,-
270,リズムゲーム,中分類タグ,-
271,リングフィット アドベンチャー,ゲーム名,-
272,ルイス・キャミー,人名,-
273,レバガチャスマブラ運動会,イベント,-
274,レバガチャ爆ヶ原,グループ名,-
275,レーシングゲーム,中分類タグ,-
276,ロボ子さん,人名,-
277,ロリアモアス,イベント,-
278,ロードモバイル,ゲーム名,-
279,ロールプレイ,中分類タグ,-
280,ワガママハイスペック,ゲーム名,-
281,一旦ステイTONIGHT,楽曲名,-
282,不破湊,人名,-
283,世界のアソビ大全51,ゲーム名,-
284,人生編,中分類タグ,-
285,仕事編,中分類タグ,-
286,企画,大分類タグ,-
287,伏見ガク,人名,-
288,体験談,中分類タグ,-
289,作業配信,中分類タグ,-
290,健屋花那,人名,-
291,偽夢,ゲーム名,-
292,僕、アルバイトォォ！！,ゲーム名,-
293,公衆電話,ゲーム名,-
294,切り抜き,中分類タグ,-
295,動作不良 - System Malfunction -,ゲーム名,-
296,勝利の女神：NIKKE,ゲーム名,-
297,単発ゲーム,中分類タグ,-
298,吉原ラメント,楽曲名,-
299,同時視聴,中分類タグ,-
300,君の可愛いがバレませんように,楽曲名,-
301,周央サンゴ,人名,-
302,周年記念,中分類タグ,-
303,呪われたデジカメ,ゲーム名,-
304,塊魂,ゲーム名,-
305,塊魂アンコール,ゲーム名,-
306,塊魂アンコール＋王様プチメモリー,ゲーム名,-
307,夕陽リリ,人名,-
308,夕鬼,ゲーム名,-
309,夕鬼 零 -Yuoni: ゼロ-,ゲーム名,-
310,夜、灯す,ゲーム名,-
311,夜廻,ゲーム名,-
312,夜廻三,ゲーム名,-
313,夜王国,グループ名,-
314,夜見れな,人名,-
315,夜間警備,ゲーム名,-
316,大乱闘スマッシュブラザーズ SPECIAL,ゲーム名,-
317,大会,中分類タグ,-
318,天宮こころ,人名,-
319,太鼓の達人,ゲーム名,-
320,女王と会長,グループ名,-
321,姫咲ゆずる,人名,-
322,学生編,中分類タグ,-
323,宗谷いちか,人名,-
324,実話,中分類タグ,-
325,対戦・アクションゲーム,中分類タグ,-
326,寿司打,ゲーム名,-
327,崩壊3rd,ゲーム名,-
328,崩壊：スターレイル,ゲーム名,-
329,幽霊列車,ゲーム名,-
330,影山シエン,人名,-
331,影廊 -Shadow Corridor-,ゲーム名,-
332,心霊物件,ゲーム名,-
333,恋愛ゲーム,中分類タグ,-
334,恋愛編,中分類タグ,-
335,意外に強いらCチーム,グループ名,-
336,愛園愛美,人名,-
337,手錠拘束プレイ耐久,企画名,-
338,振り返り雑談,中分類タグ,-
339,掛け合い,中分類タグ,-
340,推しのラブより恋のラブ,ゲーム名,-
341,推しのラブより恋のラブ～ラブ・オア・ダイ～,ゲーム名,-
342,文野環,人名,-
343,新幹線0号,ゲーム名,-
344,新衣装,中分類タグ,-
345,星のカービィ ディスカバリー,ゲーム名,-
346,晩酌,中分類タグ,-
347,最恐 -青鬼- Absolute Fear -AOONI-,ゲーム名,-
348,月ノ美兎,人名,-
349,朗読,中分類タグ,-
350,朗読・声劇,大分類タグ,-
351,来栖夏芽,人名,-
352,桃太郎電鉄,ゲーム名,-
353,椎名唯華,人名,-
354,検証,中分類タグ,-
355,樫風先生,人名,-
356,歌,大分類タグ,-
357,歌ってみた,中分類タグ,-
358,歌リレー,中分類タグ,-
359,歌枠,中分類タグ,-
360,江戸,中分類タグ,-
361,沖縄,中分類タグ,-
362,深夜廻,ゲーム名,-
363,添い寝,中分類タグ,-
364,漢字でGO!,ゲーム名,-
365,漢字でgo,ゲーム名,「漢字でGO!」に統一すべき
366,無期迷途,ゲーム名,-
367,猫瀬乃しん,人名,-
368,甘やかし,中分類タグ,-
369,甲斐田晴,人名,-
370,番外編,中分類タグ,-
371,異色あもあす,イベント,-
372,癒月ちょこ,人名,-
373,登録者数記念,中分類タグ,-
374,白羽つきみ 消えたVtuberを知ってください,ゲーム名,-
375,白衣性恋愛症候群RE:Therapy,ゲーム名,-
376,白雪みしろ,人名,-
377,白雪巴2周年,イベント,-
378,白雪巴4周年,イベント,-
379,白雪巴5周年,イベント,-
380,白雪巴ファンミーティング,イベント,-
381,白雪巴新衣装,企画名,-
382,白雪巴新衣装3D,企画名,-
383,白雪巴誕生日2024,イベント,「白雪巴誕生祭」に統一すべき
384,白雪巴誕生日2025,イベント,「白雪巴誕生祭」に統一すべき
385,白雪新衣装,企画名,「白雪巴新衣装」に統一すべき
386,白雪誕生祭,企画名,「白雪巴誕生祭」へ変更すべき
387,百合,大分類タグ,-
388,百合アニメ,中分類タグ,-
389,百合ゲー,中分類タグ,-
390,百合漫画家様対談コラボ,中分類タグ,-
391,相羽ういは,人名,-
392,看病,中分類タグ,-
393,看病がかり,ゲーム名,-
394,真砂楼,ゲーム名,-
395,神田笑一,人名,-
396,祭り,中分類タグ,-
397,私たちマリアージュ１,ゲーム名,-
398,秘密のキスは甘くやさしく,ゲーム名,-
399,竜胆尊,人名,-
400,箪笥,作品名,-
401,紙の月,作品名,-
402,終焉介護,ゲーム名,-
403,美少女無罪パイレーツ,グループ名,-
404,耐久,中分類タグ,-
405,耳かき,中分類タグ,-
406,耳責め,中分類タグ,-
407,自撮-Jisatsu-,ゲーム名,-
408,舞元啓介,人名,-
409,花畑チャイカ,人名,-
410,葛葉,人名,-
411,行方不明,ゲーム名,-
412,西園寺メアリ,人名,-
413,記念日,中分類タグ,-
414,記念雑談,中分類タグ,-
415,誕生日,中分類タグ,-
416,誕生祭,中分類タグ,-
417,誘拐事件,ゲーム名,-
418,迷宮校舎,ゲーム名,-
419,違う冬のぼくら(BOKURA),ゲーム名,-
420,都市伝説解体センター,ゲーム名,-
421,酔いどれ知らず,楽曲名,-
422,銀河英雄伝説 戦いの輪舞曲,ゲーム名,-
423,閉店事件,ゲーム名,-
424,雀魂-じゃんたま-,ゲーム名,-
425,雑談,大分類タグ,-
426,青鬼,ゲーム名,-
427,駄犬,中分類タグ,-
428,魔界戦記ディスガイア７,ゲーム名,-
429,麻雀,中分類タグ,-
430,黛灰,人名,-
431,８番出口,ゲーム名,「8番出口」に統一すべき
